,file_index,chi2_reduced,rfactor,n_Cu,n_CuO,sigma2_Cu,sigma2_CuO,e0,deltar_Cu,deltar_CuO
0,1000.0,14.687180361060626,0.05461752685241144,-0.13451995293335983,3.0053255168326753,0.0010000000041809282,0.005957650160998614,-1.0859235635700522,-0.012850040007862829,0.008040060142242567
1,1010.0,13.616930232659247,0.0577490058528935,-0.19488906443879306,3.0743967481294288,0.0010000000004762133,0.006783449051363792,-1.2275301056750116,-0.025485280387050446,0.006987451876948825
2,1020.0,18.577917598520546,0.06390291595028316,-0.1710485363997527,2.88049750824851,0.001000000000075391,0.005879845300536491,-0.019252285183142703,-0.00048188410305449736,0.017424233656901933
3,1030.0,18.555667545640564,0.06939322559419009,0.19497544465743344,2.563163943267183,0.0010000000087154173,0.00396948791582498,-0.37517653531966744,0.16264128478037865,0.009062160825724197
4,1040.0,13.862065587934817,0.05202493206373851,-0.2221779483861548,3.057675098970379,0.0010000000336342365,0.006631660493993476,-1.299586494278163,-0.016904998661815274,0.006553150179702483
5,1050.0,15.347586830417715,0.06564174358258117,-0.13919944937124917,3.063101212356112,0.0010000000016410794,0.006788040921998284,-0.9001196835511536,-0.029956831831410735,0.009774711782639
6,1060.0,16.868006564820913,0.07388172458461643,-0.13423252865234114,2.807546073600342,0.001000000001638706,0.005800700963629211,0.03217540057739399,-0.013069043313299167,0.01750367134355213
7,1070.0,13.907634625295447,0.05544198115096942,-0.1837316139607803,3.067410205687694,0.0010000000003742987,0.006748310207142963,-1.4887275042419645,-0.010634377019441033,0.003922407256549132
8,1080.0,14.628586599390786,0.0568918617359614,-0.16570356181462076,3.2544175112572375,0.0010000000731369538,0.007975588622513416,-1.4131023073254418,-0.007667145433041256,0.006469852006270038
9,1090.0,16.10725018468049,0.07528710271529501,0.1490382583543557,3.8538918335699988,0.0010000000000007904,0.009815055495157071,-3.580973614941165,0.11607975703514262,-0.017975362577325127
